rule_code,rule_name,domain,expense_category_code,rule_type,automation_level,severity,source_article,effective_from,review_status,is_active
ACT-009,파견·전보·주거 관련 지원비 중앙행정기관 인정,ACTIVITY,ACTIVITY_TRAVEL,APPROVAL,AUTO,ERROR,제25조제6항,2026-05-06,SOURCE_VERIFIED,True
ACT-010,공무원 출장비는 공무원 여비 규정 적용,ACTIVITY,ACTIVITY_TRAVEL,REQUIRE,AUTO,WARNING,제25조제6항제1호,2026-05-06,SOURCE_VERIFIED,True
ACT-011,비공무원 출장비는 자체규정 또는 공무원 여비 규정 적용,ACTIVITY,ACTIVITY_TRAVEL,REQUIRE,AUTO,WARNING,제25조제6항제2호,2026-05-06,SOURCE_VERIFIED,True
ACT-012,출장지 식사 제공 시 해당 식대 차감,ACTIVITY,ACTIVITY_TRAVEL,CALCULATION,AUTO,ERROR,제25조제7항,2026-05-06,SOURCE_VERIFIED,True
ACT-013,국외출장 집행 전 출장계획서 구비,ACTIVITY,ACTIVITY_TRAVEL,EVIDENCE,AUTO,WARNING,제25조제8항,2026-05-06,SOURCE_VERIFIED,True
ACT-014,국외출장 집행 후 출장결과보고서 구비,ACTIVITY,ACTIVITY_TRAVEL,EVIDENCE,AUTO,WARNING,제25조제8항,2026-05-06,SOURCE_VERIFIED,True
ACT-015,일반 소프트웨어 사용계약은 종료 2개월 전까지 체결,ACTIVITY,ACTIVITY_SOFTWARE,DEADLINE,AUTO,ERROR,제25조제9항제3호,2026-05-06,SOURCE_VERIFIED,True
ACT-016,재난 등 인정 시 소프트웨어 계약은 종료 1개월 전까지,ACTIVITY,ACTIVITY_SOFTWARE,DEADLINE,AUTO,ERROR,제25조제9항제2호,2026-05-06,SOURCE_VERIFIED,True
ACT-017,법 제4조 사업 소프트웨어 계약은 종료일까지 체결,ACTIVITY,ACTIVITY_SOFTWARE,DEADLINE,AUTO,ERROR,제25조제9항제1호,2026-05-06,SOURCE_VERIFIED,True
ACT-018,최소 계약단위인 소프트웨어는 과제기간 초과 계약 허용,ACTIVITY,ACTIVITY_SOFTWARE,ALLOW_WITH_EVIDENCE,AUTO,INFO,제25조제10항,2026-05-06,SOURCE_VERIFIED,True
ACT-019,클라우드 정액제에 소프트웨어 계약기준 준용,ACTIVITY,ACTIVITY_CLOUD,CROSS_RULE,AUTO,INFO,제25조제11항,2026-05-06,SOURCE_VERIFIED,True
ACT-020,클라우드 이용지원시스템 확인 후 서비스 선정,ACTIVITY,ACTIVITY_CLOUD,REQUIRE,AUTO,WARNING,제25조제12항,2026-05-06,SOURCE_VERIFIED,True
ACT-021,연구실운영비 자체규정 적용,ACTIVITY,ACTIVITY_LAB_OPERATION,REQUIRE,MANUAL_REVIEW,WARNING,제25조제13항,2026-05-06,SOURCE_VERIFIED,True
ACT-022,비참여자 연구인력 지원비 계상 금지,ACTIVITY,ACTIVITY_PERSONNEL_SUPPORT,DENY_WITH_EXCEPTIONS,SEMI_AUTO,ERROR,제25조제14항제1호,2026-05-06,SOURCE_VERIFIED,True
ACT-023,종신 학회비 계상 금지,ACTIVITY,ACTIVITY_PERSONNEL_SUPPORT,DENY,AUTO,ERROR,제25조제14항제2호,2026-05-06,SOURCE_VERIFIED,True
ACT-024,과제와 무관한 학회·세미나·교육훈련비 계상 금지,ACTIVITY,ACTIVITY_PERSONNEL_SUPPORT,DENY,SEMI_AUTO,ERROR,제25조제14항제3호,2026-05-06,SOURCE_VERIFIED,True
ACT-025,학위과정 비용 계상 금지,ACTIVITY,ACTIVITY_PERSONNEL_SUPPORT,DENY,AUTO,ERROR,제25조제14항제4호,2026-05-06,SOURCE_VERIFIED,True
ACT-026,환급 가능한 교육비 계상 금지,ACTIVITY,ACTIVITY_PERSONNEL_SUPPORT,DENY,AUTO,ERROR,제25조제14항제5호,2026-05-06,SOURCE_VERIFIED,True
ACT-027,평일 점심 및 출장 식비 중복 식대 계상 금지,ACTIVITY,ACTIVITY_PERSONNEL_SUPPORT,DENY,AUTO,ERROR,제25조제14항제6호,2026-05-06,SOURCE_VERIFIED,True
ACT-028,해외연구자 국내 6개월 이상 거주·참여 요건,ACTIVITY,ACTIVITY_FOREIGN_RESEARCHER,REQUIRE,AUTO,ERROR,제25조제15항제1호,2026-05-06,SOURCE_VERIFIED,True
ACT-029,해외연구자 친족관계 제한,ACTIVITY,ACTIVITY_FOREIGN_RESEARCHER,DENY,AUTO,ERROR,제25조제15항제2호,2026-05-06,SOURCE_VERIFIED,True
ACT-030,해외연구자 유치 자체절차 이행,ACTIVITY,ACTIVITY_FOREIGN_RESEARCHER,REQUIRE,AUTO,WARNING,제25조제15항제3호,2026-05-06,SOURCE_VERIFIED,True
ACT-031,해외연구자 유치 지원비 중앙행정기관 인정,ACTIVITY,ACTIVITY_FOREIGN_RESEARCHER,APPROVAL,AUTO,ERROR,제25조제15항,2026-05-06,SOURCE_VERIFIED,True
ACT-032,해외연구자 유치 지원비 증액 사전승인,ACTIVITY,ACTIVITY_FOREIGN_RESEARCHER,APPROVAL,AUTO,ERROR,제25조제16항·제73조제1항제12호,2026-05-06,SOURCE_VERIFIED,True
INC-001,연구수당 수정인건비 20% 한도,INCENTIVE,DIRECT_INCENTIVE,LIMIT,AUTO,ERROR,제26조제1항,2026-05-06,SOURCE_VERIFIED,True
INC-002,수정인건비 변경 시 연구수당 한도 재계산,INCENTIVE,DIRECT_INCENTIVE,CALCULATION,AUTO,WARNING,제26조제2항,2026-05-06,SOURCE_VERIFIED,True
INC-003,연구수당 시작 시 계상액 초과 증액 제한,INCENTIVE,DIRECT_INCENTIVE,DENY_WITH_EXCEPTIONS,SEMI_AUTO,ERROR,제26조제2항·제3항,2026-05-06,SOURCE_VERIFIED,True
INC-004,총 연구개발비 증액 또는 기관 추가·변경에 따른 연구수당 증액 사전승인,INCENTIVE,DIRECT_INCENTIVE,APPROVAL,AUTO,ERROR,제26조제3항·제73조제1항제10호,2026-05-06,SOURCE_VERIFIED,True
INC-005,전체 참여연구자 대상 합리적 기여도 기준 마련,INCENTIVE,DIRECT_INCENTIVE,REQUIRE,MANUAL_REVIEW,WARNING,제26조제5항,2026-05-06,SOURCE_VERIFIED,True
INC-006,참여연구자 2명 이상 시 개인별 70% 지급한도,INCENTIVE,DIRECT_INCENTIVE,LIMIT,AUTO,ERROR,제26조제6항,2026-05-06,SOURCE_VERIFIED,True
INC-007,정산 인정 수정인건비 기준 20% 초과 연구수당 불인정,INCENTIVE,DIRECT_INCENTIVE,LIMIT,AUTO,ERROR,제26조제7항제1호,2026-05-06,SOURCE_VERIFIED,True
INC-008,연구수당 지급비율과 직접비 사용비율 차이 20%p 제한,INCENTIVE,DIRECT_INCENTIVE,LIMIT,SEMI_AUTO,ERROR,제26조제7항제2호,2026-05-06,SOURCE_VERIFIED,True
INC-009,해당 단계 연구수당의 다음 단계 이월 사용 금지,INCENTIVE,DIRECT_INCENTIVE,DENY,AUTO,ERROR,제26조제8항,2026-05-06,SOURCE_VERIFIED,True
SUB-001,위탁연구개발비 수정직접비 기준 40% 한도,SUBCONTRACT,DIRECT_SUBCONTRACT,LIMIT,AUTO,ERROR,제27조제1항,2026-05-06,SOURCE_VERIFIED,True
SUB-002,정부출연기관 기본사업 위탁비 40% 초과 예외,SUBCONTRACT,DIRECT_SUBCONTRACT,ALLOW,AUTO,INFO,제27조제3항·제73조제1항제7호,2026-05-06,SOURCE_VERIFIED,True
SUB-003,위탁연구개발비 원래계획 대비 20% 이상 증액 사전승인,SUBCONTRACT,DIRECT_SUBCONTRACT,APPROVAL,AUTO,ERROR,제27조제3항·제73조제1항제7호,2026-05-06,SOURCE_VERIFIED,True
SUB-004,위탁연구개발비 계좌이체 증명 구비,SUBCONTRACT,DIRECT_SUBCONTRACT,EVIDENCE,AUTO,WARNING,제27조제5항,2026-05-06,SOURCE_VERIFIED,True
SUB-005,위탁기관의 재위탁·국제공동·연구개발부담비 계상 금지,SUBCONTRACT,DIRECT_SUBCONTRACT,DENY,AUTO,ERROR,제27조제6항,2026-05-06,SOURCE_VERIFIED,True
SUB-006,위탁기관 사용실적 보고·정산 협조,SUBCONTRACT,DIRECT_SUBCONTRACT,REQUIRE,MANUAL_REVIEW,WARNING,제27조제7항,2026-05-06,SOURCE_VERIFIED,True
LAB-101,영리기관 신규채용 참여연구자 현금 인건비 허용,LABOR,UI_NEW_HIRE_LABOR_CASH,ALLOW,AUTO,INFO,제65조제4항제1호,2026-05-06,SOURCE_VERIFIED,True
LAB-102,영리기관 참여연구자 월 총인건비계상률 100% 제한,LABOR,DIRECT_LABOR,LIMIT,AUTO,ERROR,제65조제7항,2026-05-06,SOURCE_VERIFIED,True
IND-101,영리기관 간접비 수정직접비 10% 한도,INDIRECT,INDIRECT,FORMULA_LIMIT,AUTO,ERROR,제2조제9호·제63조·제114조제4항,2026-05-06,SOURCE_VERIFIED,True
ACT-101,영리기관 연구실운영비 소모성 비용 금지,ACTIVITY,ACTIVITY_LAB_OPERATION,DENY,AUTO,ERROR,제68조제4항,2026-05-06,SOURCE_VERIFIED,True
